Article ID: 2023525, Cluster: 4, Dominant Topic: 6
Article ID: 2041653, Cluster: 4, Dominant Topic: 9
Article ID: 2042107, Cluster: 4, Dominant Topic: 2
Article ID: 2048393, Cluster: 4, Dominant Topic: 7
Article ID: 2053959, Cluster: 4, Dominant Topic: 8
Article ID: 2023465, Cluster: 4, Dominant Topic: 0
Article ID: 2024078, Cluster: 4, Dominant Topic: 0
Article ID: 2028224, Cluster: 4, Dominant Topic: 2
Article ID: 2062426, Cluster: 4, Dominant Topic: 8
Article ID: 2150320, Cluster: 4, Dominant Topic: 6
Article ID: 2155952, Cluster: 4, Dominant Topic: 3
Article ID: 2157012, Cluster: 4, Dominant Topic: 7
Article ID: 2219618, Cluster: 4, Dominant Topic: 7
Article ID: 2299880, Cluster: 4, Dominant Topic: 3
Article ID: 2266890, Cluster: 4, Dominant Topic: 2
Article ID: 2346100, Cluster: 4, Dominant Topic: 4
Article ID: 2314180, Cluster: 4, Dominant Topic: 4
Article ID: 1227928, Cluster: 5, Dominant Topic: 5
Article ID: 1543153, Cluster: 5, Dominant Topic: 0
Article ID: 1314239, Cluster: 5, Dominant Topic: 6
Article ID: 1964200, Cluster: 5, Dominant Topic: 1
Article ID: 1551502, Cluster: 5, Dominant Topic: 3
Article ID: 1595579, Cluster: 5, Dominant Topic: 3
Article ID: 2069978, Cluster: 5, Dominant Topic: 1
Article ID: 2074813, Cluster: 5, Dominant Topic: 6
Article ID: 2097544, Cluster: 5, Dominant Topic: 5
Article ID: 2119419, Cluster: 5, Dominant Topic: 9
Article ID: 2275096, Cluster: 5, Dominant Topic: 8
Article ID: 2313930, Cluster: 5, Dominant Topic: 4
Article ID: 436119, Cluster: 6, Dominant Topic: 4
Article ID: 372284, Cluster: 6, Dominant Topic: 5
Article ID: 476817, Cluster: 6, Dominant Topic: 8
Article ID: 516003, Cluster: 6, Dominant Topic: 7
Article ID: 516006, Cluster: 6, Dominant Topic: 3
Article ID: 524887, Cluster: 6, Dominant Topic: 0
Article ID: 524972, Cluster: 6, Dominant Topic: 5
Article ID: 533829, Cluster: 6, Dominant Topic: 1
Article ID: 559922, Cluster: 6, Dominant Topic: 9
Article ID: 623417, Cluster: 6, Dominant Topic: 6
Article ID: 676909, Cluster: 6, Dominant Topic: 9
Article ID: 780740, Cluster: 6, Dominant Topic: 2
Article ID: 793395, Cluster: 6, Dominant Topic: 8
Article ID: 1421348, Cluster: 6, Dominant Topic: 7
Article ID: 1480953, Cluster: 6, Dominant Topic: 4
Article ID: 1498194, Cluster: 6, Dominant Topic: 9
Article ID: 1704546, Cluster: 6, Dominant Topic: 1
Article ID: 1554267, Cluster: 6, Dominant Topic: 6
Article ID: 1679152, Cluster: 6, Dominant Topic: 8
Article ID: 2134015, Cluster: 6, Dominant Topic: 5
Article ID: 2137276, Cluster: 6, Dominant Topic: 9
Article ID: 2169477, Cluster: 6, Dominant Topic: 6
Article ID: 2186286, Cluster: 6, Dominant Topic: 5
Article ID: 2194486, Cluster: 6, Dominant Topic: 2
Article ID: 2207612, Cluster: 6, Dominant Topic: 7
Article ID: 2235430, Cluster: 6, Dominant Topic: 3
Article ID: 2284154, Cluster: 6, Dominant Topic: 9
Article ID: 2313861, Cluster: 6, Dominant Topic: 1
Article ID: 2339287, Cluster: 6, Dominant Topic: 1
