node_id,article_id,comment_id,parent_id,entity,entity_type,sum_sentiment,sum_pos,sum_neg,weight_pos,weight_neg,weight
294,"[755329, 1596545, 2115330, 1655560, 510857, 1138187, 2104843, 340497, 623380, 1227928, 821274, 419614, 439459, 428457, 413742, 1787828, 2041653, 2028224, 1227715, 1281862, 2053959, 1907918, 455511, 2069978, 1566688, 634084, 541160, 1682674, 825466]","[5832578951, 5820275723, 5814716428, 5809544336, 5816166929, 5812900114, 5819647991, 5808027159, 5809679004, 5819687840, 5809618850, 5822496933, 5830191657, 5809673258, 5813533231, 5811588657, 5827407413, 5821127862, 5821243065, 5811562810, 5826434877, 5811870020, 5809358917, 5815205958, 5832639943, 5814829640, 5813839692, 5814964685, 5817159117, 5810337487, 5814321872, 5822019665, 5817452374, 5832469977, 5815260767, 5814754783, 5812059617, 5810292578, 5827809505, 5809241956, 5826765027, 5811071974, 5823758823, 5824327913, 5812113002, 5809726187, 5809248111, 5809672945, 5833342065, 5820415604, 5827759606, 5816125943]","[0, 5832637442, 5816125189, 5811049990, 5820267270, 5824325381, 5827758854, 5820160651, 5812111376, 5817155472, 5819622930, 5827443220, 5809241877, 5814709659, 5811861025, 5809500581, 5814551717, 5811522088, 5812038188, 5817450541, 5809657006, 5814689587, 5821127094, 5822495685, 5809537479, 5809678537, 5822932553, 5832577226, 5808021840, 5819635921, 5833317840, 5812898771, 5809358422, 5813833815, 5809672408, 5826381272, 5809617755, 5811561954, 5814285666, 5822016767, 5816165097, 5832466795, 5809725815, 5813369850, 5809238269, 5810291326, 5821240959]",Nah,"['GPE', 'PERSON']",-14.8945,6.8793000000000015,-21.773799999999962,21,131,152
295,"[340497, 1682674, 413742]","[5809204331, 5808016107, 5820259087]","[0, 5820251787]",Joke,['PERSON'],3.256,3.2559999999999993,0.0,11,0,11
296,[340497],[5808015296],[0],Duncan Hunter,['PERSON'],0.7003,0.7003,0.0,1,0,1
297,"[755329, 898818, 1596545, 2063107, 2115330, 777480, 510857, 1138187, 512396, 1092237, 340497, 623380, 1979029, 1497495, 1227928, 821274, 419614, 1330472, 428457, 1850283, 1787828, 1092926, 807615, 2028224, 1227715, 757828, 780740, 1281862, 1089225, 728906, 931403, 734285, 1276621, 1807056, 1227730, 419795, 1918680, 2069978, 597596, 1479648, 1696099, 634084, 541160, 1682674, 1276661, 825466, 959740]","[5817574413, 5812229646, 5828259345, 5812018197, 5811613733, 5812586543, 5817564719, 5814228040, 5814545995, 5816096846, 5817940558, 5832527951, 5819570264, 5827646040, 5816239708, 5814981726, 5812546145, 5811615341, 5817331310, 5816009840, 5812206714, 5827647615, 5816835712, 5815656071, 5815791244, 5814026893, 5820331668, 5827865241, 5814772893, 5813555881, 5813167274, 5813576366, 5812964532, 5827677364, 5809372342, 5822009530, 5813809342, 5817247424, 5817312962, 5822558410, 5810342094, 5816635111, 5827630312, 5814742762, 5815840496, 5822539506, 5815263989, 5817043190, 5813654776, 5816421117, 5809330947, 5821883664, 5814780692, 5831175958, 5816844568, 5813562141, 5810322206, 5821223719, 5813113129, 5808008490, 5810380074, 5809329965, 5822757168, 5809476915, 5822756147, 5809386300, 5821620544, 5832606538, 5814780236, 5824865625, 5817312091, 5815985501, 5822079328, 5815885154, 5811934565, 5812106604, 5814479213, 5822553461, 5817629558, 5815177592, 5816167801, 5811626361, 5823456635, 5815907708, 5827651455, 5809385858, 5811618179, 5821297542, 5813585804, 5817127836, 5813809058, 5819216290, 5813764516, 5816884155, 5814397381, 5822648781, 5822168019, 5821384149, 5814783958, 5817294806, 5818403290, 5822176219, 5827666396, 5817228768, 5818125803, 5809297913, 5814478330]","[0, 5814780672, 5819569537, 5822555384, 5822116098, 5827647105, 5817931271, 5818049544, 5812224394, 5816223498, 5823453325, 5821223060, 5811931413, 5816878357, 5816151192, 5816006425, 5816400027, 5810315804, 5817290012, 5818960672, 5821295009, 5813809058, 5822144931, 5827864355, 5817042086, 5809293741, 5809468334, 5813798573, 5810374449, 5814537905, 5821791537, 5822753656, 5817246006, 5813548855, 5814443063, 5822009530, 5812963516, 5814980543, 5814779840, 5832525632, 5831175113, 5815981642, 5811606605, 5813566030, 5809327951, 5817170896, 5821327696, 5810230612, 5814478811, 5816569691, 5811613533, 5821540061, 5827666396, 5812535522, 5811621606, 5828257642, 5817617899, 5813166700, 5822755822, 5817088754, 5817118453, 5817052663, 5815177592, 5813546234, 5818062591]",MAGA,"['PERSON', 'ORG']",-35.9062,28.258700000000005,-64.16490000000002,71,139,210
298,[340497],"[5808329508, 5808040085]","[5807990492, 5808040085]",the Trump Company,['ORG'],0.843,0.843,0.0,2,0,2
299,[340497],[5807990081],[0],"RT
RT",['ORG'],0.0,0.0,0.0,0,0,0
300,"[541160, 340497]","[5807990081, 5812070877]",[0],"Putin
Putin",['PERSON'],0.0,0.0,0.0,0,0,0
301,"[340497, 1787828]","[5821137946, 5808024476]","[5807989528, 0]",The Orange Clown,['ORG'],-1.8107999999999997,0.296,-2.1068,1,4,5
302,"[2010882, 734285, 560493, 1276621, 340497, 623417, 2062426, 419614]","[5813716057, 5829355554, 5817957706, 5826534609, 5812073330, 5812783256, 5807989145, 5809265277]","[0, 5817897273, 5826527976, 5813712620]",Communists,['NORP'],0.24470000000000008,2.799,-2.5543,6,5,11
303,[340497],[5807988457],[0],The Fleecing of America,['ORG'],0.0,0.0,0.0,0,0,0
