tweet_id,timestamp
825466_12,2022-04-01 23:19:12+00:00
825466_13,2022-04-01 23:19:35+00:00
825466_14,2022-04-01 23:23:05+00:00
825466_15,2022-04-01 23:23:10+00:00
825466_16,2022-04-01 23:24:19+00:00
825466_17,2022-04-01 23:25:24+00:00
825466_18,2022-04-01 23:26:55+00:00
825466_19,2022-04-01 23:31:02+00:00
825466_20,2022-04-01 23:31:05+00:00
825466_21,2022-04-01 23:32:59+00:00
825466_22,2022-04-01 23:35:15+00:00
825466_23,2022-04-01 23:35:26+00:00
825466_24,2022-04-01 23:42:06+00:00
825466_25,2022-04-01 23:42:59+00:00
825466_26,2022-04-01 23:49:44+00:00
825466_27,2022-04-01 23:58:16+00:00
825466_28,2022-04-02 00:01:57+00:00
825466_29,2022-04-02 00:03:33+00:00
825466_30,2022-04-02 00:35:07+00:00
825466_31,2022-04-02 01:34:04+00:00
825466_32,2022-04-02 02:23:52+00:00
825466_33,2022-04-02 02:28:13+00:00
825466_34,2022-04-02 02:30:53+00:00
825466_35,2022-04-02 02:38:14+00:00
825466_36,2022-04-02 05:24:09+00:00
825466_37,2022-04-02 08:36:57+00:00
825466_38,2022-04-02 09:20:00+00:00
825466_39,2022-04-02 13:28:27+00:00
825466_40,2022-04-02 15:19:23+00:00
825466_41,2022-04-02 15:20:29+00:00
825466_42,2022-04-02 18:50:17+00:00
825466_43,2022-04-03 02:00:00+00:00
825466_44,2022-04-03 18:12:02+00:00
825466_45,2022-04-04 13:41:31+00:00
825466_46,2022-04-04 16:23:54+00:00
825466_47,2022-04-04 16:56:43+00:00
825466_48,2022-04-04 22:00:02+00:00
825466_49,2022-04-05 03:05:25+00:00
825466_50,2022-04-05 18:18:53+00:00
825466_51,2022-04-01 23:14:25+00:00
825466_51_765947252045144064,2022-04-01T23:19:14+0000
825466_52,2022-04-01 23:17:07+00:00
825466_53,2022-04-01 23:25:23+00:00
825466_54,2022-04-01 23:27:07+00:00
825466_55,2022-04-02 00:05:26+00:00
825466_55_1220221958551408641,2022-04-02T15:52:07+0000
825466_56,2022-04-02 01:27:29+00:00
825466_56_1222636211061305345,2022-04-02T01:27:29+0000
825466_57,2022-04-01 23:19:39+00:00
825466_57_22775739,2022-04-01T23:33:20+0000
825466_57_22775739_2791821,2022-04-01T23:58:08+0000
825466_58,2022-04-01 23:21:55+00:00
825466_58_884504897558892545,2022-04-01T23:49:13+0000
825466_58_275865954,2022-04-01T23:52:25+0000
825466_59,2022-04-01 23:15:18+00:00
825466_59_1045434508185501697,2022-04-01T23:19:12+0000
825466_59_1427767611417313285,2022-04-01T23:22:58+0000
825466_59_758114193895665664,2022-04-01T23:25:53+0000
825466_59_1087497404423827456,2022-04-01T23:46:10+0000
825466_59_1039929312391049216,2022-04-01T23:57:08+0000
825466_59_1039929312391049216_1376716168791212037,2022-04-02T00:03:46+0000
825466_59_1016730897679355905,2022-04-01T23:57:38+0000
825466_59_3018201986,2022-04-01T23:58:08+0000
825466_59_3018201986_1374933510914371585,2022-04-02T01:26:59+0000
825466_59_1351682436795674631,2022-04-02T01:05:23+0000
825466_59_1037796925028921351,2022-04-02T03:28:49+0000
825466_59_1329317282875662339,2022-04-02T03:48:05+0000
848839_1,2022-04-02 05:29:03+00:00
848839_2,2022-04-02 05:29:03+00:00
848839_3,2022-04-02 05:37:04+00:00
848839_4,2022-04-02 06:06:03+00:00
848839_5,2022-04-02 08:20:02+00:00
848839_6,2022-04-02 09:17:16+00:00
848839_7,2022-04-02 10:16:30+00:00
