article_id,tweet_id,parent_id,entity,entity_type,cluster,topic,sentiment,timestamp
413742,413742_7,0,Smith Oscar,PERSON,8,9,-0.2263,2022-03-28 17:01:26+00:00
413742,413742_10,0,Comedians,NORP,8,9,-0.2263,2022-03-28 17:52:50+00:00
413742,413742_10,0,Smith Oscar,PERSON,8,9,-0.2263,2022-03-28 17:52:50+00:00
413742,413742_11,0,Comedians,NORP,8,9,-0.2263,2022-03-28 17:58:06+00:00
413742,413742_11,0,Smith Oscar,PERSON,8,9,-0.2263,2022-03-28 17:58:06+00:00
413742,413742_11,0,GFPIRKkXZR WillSmithAssault,ORG,8,9,-0.2263,2022-03-28 17:58:06+00:00
413742,413742_11,0,WillSmith,ORG,8,9,-0.2263,2022-03-28 17:58:06+00:00
413742,413742_12,0,Comedians,NORP,8,9,-0.4588,2022-03-28 18:00:02+00:00
413742,413742_12,0,Smith Oscar,PERSON,8,9,-0.4588,2022-03-28 18:00:02+00:00
413742,413742_13,0,Richard Marx,PERSON,8,9,0.7964,2022-03-28 19:34:26+00:00
413742,413742_14,0,Nelson,ORG,8,9,-0.3182,2022-03-28 19:55:06+00:00
413742,413742_14,0,NAACP Legal Defense,ORG,8,9,-0.3182,2022-03-28 19:55:06+00:00
413742,413742_15,0,Mark Hamill,PERSON,8,9,-0.91,2022-03-28 19:55:06+00:00
413742,413742_15,0,Oscar,PERSON,8,9,-0.91,2022-03-28 19:55:06+00:00
413742,413742_15,0,Stand,ORG,8,9,-0.91,2022-03-28 19:55:06+00:00
413742,413742_15,0,Violent,PERSON,8,9,-0.91,2022-03-28 19:55:06+00:00
413742,413742_16,0,Kathy Griffin,PERSON,8,9,-0.3818,2022-03-28 19:55:07+00:00
413742,413742_16,0,Smith,ORG,8,9,-0.3818,2022-03-28 19:55:07+00:00
413742,413742_17,0,Smith,ORG,8,9,-0.743,2022-03-28 22:41:17+00:00
413742,413742_17,0,Comedians,NORP,8,9,-0.743,2022-03-28 22:41:17+00:00
413742,413742_17,0,Smith Oscar,PERSON,8,9,-0.743,2022-03-28 22:41:17+00:00
413742,413742_18,0,Comedians,NORP,8,9,-0.2263,2022-03-29 01:27:27+00:00
413742,413742_18,0,Smith Oscar,PERSON,8,9,-0.2263,2022-03-29 01:27:27+00:00
413742,413742_19,0,Comedians,NORP,8,9,-0.4588,2022-03-29 02:03:56+00:00
413742,413742_19,0,Smith Oscar,PERSON,8,9,-0.4588,2022-03-29 02:03:56+00:00
413742,413742_19,0,Smith,GPE,8,9,-0.4588,2022-03-29 02:03:56+00:00
413742,413742_19,0,Chris Rock,PERSON,8,9,-0.4588,2022-03-29 02:03:56+00:00
413742,413742_20,0,Comedians,NORP,8,9,-0.2263,2022-03-29 02:33:32+00:00
413742,413742_20,0,Smith Oscar,PERSON,8,9,-0.2263,2022-03-29 02:33:32+00:00
413742,413742_21,0,Smith,ORG,8,9,-0.5221,2022-03-29 04:35:42+00:00
413742,413742_21,0,Chris Rock,PERSON,8,9,-0.5221,2022-03-29 04:35:42+00:00
413742,413742_22,0,Smith,ORG,8,9,-0.5221,2022-03-29 05:11:33+00:00
413742,413742_22,0,Chris Rock,PERSON,8,9,-0.5221,2022-03-29 05:11:33+00:00
413742,413742_23,0,Comedians,NORP,8,9,-0.2263,2022-03-29 05:34:40+00:00
