article_id,tweet_id,user_id,parent_id,entity,entity_type,sentiment
413742,413742_30_1091444183934615553,1091444183934615553,413742_30,Smith,GPE,-0.296
413742,413742_30_1456583566649749505,1456583566649749505,413742_30,Smith,GPE,-0.8176
413742,413742_30_1238549436181164037,1238549436181164037,413742_30,Celebs,PERSON,0.9451
413742,413742_30_35968525,35968525,413742_30,Smith,GPE,0.0
413742,413742_30_35968525,35968525,413742_30,Oscar,PERSON,0.0
413742,413742_30_35968525_22316991,22316991,413742_30_35968525,Oscar,PERSON,0.0
413742,413742_30_785296269753417728,785296269753417728,413742_30,Kathy Griffin Robin William,PERSON,0.765
413742,413742_30_785296269753417728,785296269753417728,413742_30,Smith,PERSON,0.765
413742,413742_30_785296269753417728_378134214,378134214,413742_30_785296269753417728,Robin William,PERSON,0.296
413742,413742_30_785296269753417728_855453265013739520,855453265013739520,413742_30_785296269753417728,Chris Rock,PERSON,-0.2732
413742,413742_30_785296269753417728_1290453310022057986,1290453310022057986,413742_30_785296269753417728,EXACTLY,NORP,-0.6705
413742,413742_30_785296269753417728_1290453310022057986,1290453310022057986,413742_30_785296269753417728,Chris,PERSON,-0.6705
413742,413742_30_785296269753417728_1290453310022057986,1290453310022057986,413742_30_785296269753417728,brotha gotten,PERSON,-0.6705
413742,413742_30_824722559149244417,824722559149244417,413742_30,Amazon Basics Dog Puppy,ORG,0.1779
413742,413742_30_1501641434356670465,1501641434356670465,413742_30,joerogan,PERSON,0.2023
413742,413742_30_1501641434356670465,1501641434356670465,413742_30,Oscars,ORG,0.2023
413742,413742_30_1048389397937311744_2558048480,2558048480,413742_30_1048389397937311744,Academy,ORG,-0.7266
413742,413742_30_1048389397937311744_2558048480,2558048480,413742_30_1048389397937311744,Chris Rock,PERSON,-0.7266
413742,413742_30_1048389397937311744_154686531,154686531,413742_30_1048389397937311744,smith,ORG,-0.886
413742,413742_30_35968525,35968525,413742_30,Academy Smith,ORG,0.0
413742,413742_30_35968525,35968525,413742_30,Oscar,PERSON,0.0
413742,413742_30_736208846,736208846,413742_30,Kathy Griffin,PERSON,-0.1027
413742,413742_30_736208846_23539096,23539096,413742_30_736208846,Smith,GPE,-0.34
413742,413742_30_736208846_23539096,23539096,413742_30_736208846,Chris,PERSON,-0.34
